,TS,SensorId,L1H,L1T,L2H,L2T,L3H,L3T
62,2020-02-13 02:00:00,E53490B59A25,28.242741666666664,10.691666666666668,28.55258333333333,11.824999999999998,40.51374166666667,12.366666666666667
63,2020-02-13 03:00:00,E53490B59A25,28.153518181818185,10.454545454545457,28.57743636363637,11.618181818181816,40.49009999999999,12.236363636363638
64,2020-02-13 04:00:00,E53490B59A25,28.130018181818183,10.236363636363636,28.58194545454546,11.42727272727273,40.48665454545454,12.099999999999996
65,2020-02-13 05:00:00,E53490B59A25,28.09629090909091,10.118181818181816,28.63870909090909,11.263636363636365,40.48815454545454,11.972727272727274
66,2020-02-13 06:00:00,E53490B59A25,27.97310909090909,9.981818181818184,28.622627272727275,11.136363636363633,40.43422727272728,11.845454545454546
67,2020-02-13 07:00:00,E53490B59A25,27.946675,9.791666666666666,28.58785833333333,10.958333333333336,40.43626666666667,11.75
68,2020-02-13 08:00:00,E53490B59A25,28.37960833333333,9.975,29.01179166666667,10.783333333333333,40.80538333333333,11.591666666666665
69,2020-02-13 09:00:00,E53490B59A25,29.10685,10.916666666666664,29.71125,10.825,41.44515833333333,11.400000000000004
70,2020-02-13 10:00:00,E53490B59A25,29.24846363636364,12.545454545454545,30.08458181818182,11.345454545454546,41.73417272727273,11.454545454545455
71,2020-02-13 11:00:00,E53490B59A25,29.213041666666665,13.733333333333334,30.25705,12.1,41.7866,11.7
72,2020-02-13 12:00:00,E53490B59A25,29.05836666666667,14.449999999999998,30.28905,12.825,41.789458333333336,12.041666666666664
73,2020-02-13 13:00:00,E53490B59A25,28.833966666666665,14.733333333333334,30.2714,13.358333333333334,41.786041666666655,12.391666666666666
74,2020-02-13 14:00:00,E53490B59A25,28.684275,14.866666666666667,30.226858333333336,13.69166666666667,41.764375,12.725
75,2020-02-13 15:00:00,E53490B59A25,28.2348,14.845454545454546,29.91157272727273,13.98181818181818,41.48621818181818,13.018181818181818
76,2020-02-13 16:00:00,E53490B59A25,27.87518333333333,14.575,29.55900833333333,14.099999999999996,41.20165833333333,13.250000000000002
77,2020-02-13 17:00:00,E53490B59A25,27.33358333333333,14.008333333333333,29.1579,14.008333333333335,40.82209166666666,13.391666666666673
78,2020-02-13 18:00:00,E53490B59A25,26.818791666666666,13.308333333333335,28.85891666666667,13.741666666666667,40.50819166666667,13.383333333333338
79,2020-02-13 19:00:00,E53490B59A25,26.318358333333336,12.591666666666667,28.86193333333333,13.383333333333333,40.361308333333334,13.274999999999995
80,2020-02-13 20:00:00,E53490B59A25,26.3267,11.936363636363636,28.57086363636364,12.972727272727274,40.29009090909091,13.136363636363633
81,2020-02-13 21:00:00,E53490B59A25,26.18963636363636,11.41818181818182,28.56325454545455,12.627272727272725,40.234809090909096,12.954545454545455
82,2020-02-13 22:00:00,E53490B59A25,25.900941666666668,10.891666666666667,28.76995833333334,12.275,40.17111666666667,12.766666666666666
83,2020-02-13 23:00:00,E53490B59A25,25.8043,10.383333333333336,28.77775833333333,11.91666666666667,40.11055833333333,12.566666666666668
